Marque;Modèle;Boite vitesse;Puissance fiscale;Transmission;Kilométrage;Mise en circulation;Carrosserie;price;cylindre;Énergie
KIA;Sportage;Automatique;11                        cv;Traction;65 000                        km;08.2020;SUV/4x4;131 000        DT;4000;Hybride diesel
Ford;Ranger;Manuelle;11                        cv;Intégrale;120 000                        km;05.2016;SUV/4x4;120 000        DT;3200;Diesel
Dacia;Duster;Manuelle;6                        cv;Intégrale;286 000                        km;12.2011;SUV/4x4;38 000        DT;1500;Diesel
Volkswagen;Caddy;Manuelle;5                        cv;Traction;162 000                        km;04.2017;Utilitaire;44 000        DT;1598;Diesel
Peugeot;206;Manuelle;4                        cv;Traction;183 000                        km;12.2005;Citadine;19 000        DT;899;Essence
Mercedes-Benz;Classe E;Automatique;15                        cv;Propulsion;375 000                        km;07.2009;Berline;65 000        DT;2996;Essence
BMW;Série 3;Automatique;13                        cv;Propulsion;200 000                        km;03.2007;Berline;36 500        DT;3000;Essence
Suzuki;Swift;Manuelle;5                        cv;Propulsion;133 000                        km;12.2018;Citadine;33 000        DT;900;Essence
Opel;Astra;Manuelle;6                        cv;Intégrale;128 000                        km;09.2019;Autres;53 500        DT;1360;Diesel
BMW;Série 1;Automatique;7                        cv;Propulsion;90 000                        km;03.2016;Coupé;70 000        DT;1499;Essence
Seat;Ibiza;Manuelle;6                        cv;Traction;107 000                        km;07.2020;Citadine;68 000        DT;1599;Essence
Toyota;RAV 4;Automatique;9                        cv;Traction;39 000                        km;02.2021;SUV/4x4;135 000        DT;1987;Essence
Mercedes-Benz;Classe GL;Automatique;23                        cv;Intégrale;370 000                        km;01.2007;SUV/4x4;95 000        DT;3999;Diesel
Volkswagen;Golf 7;Manuelle;7                        cv;Traction;80 000                        km;03.2019;Compacte;75 000        DT;1000;Essence
MG;ZS;Manuelle;7                        cv;Traction;60 000                        km;03.2021;SUV/4x4;63 000        DT;1499;Essence
Mercedes-Benz;Classe C;Automatique;9                        cv;Traction;130 000                        km;10.2017;Berline;108 000        DT;1595;Essence
BMW;X1;Automatique;8                        cv;Traction;20 000                        km;09.2018;Citadine;144 000        DT;1498;Essence
Renault;Megane;Manuelle;7                        cv;Traction;60 000                        km;08.2020;Citadine;60 000        DT;1149;Essence
KIA;Sportage;Automatique;8                        cv;Traction;100 000                        km;12.2016;SUV/4x4;77 000        DT;1598;Essence
Mercedes-Benz;Classe A;Automatique;9                        cv;Traction;99 000                        km;01.2019;Berline;130 000        DT;1498;Essence
BMW;Série 5;Automatique;10                        cv;Traction;100 000                        km;01.2018;Berline;148 000        DT;1998;Essence
Chevrolet;Malibu;Automatique;12                        cv;Traction;93 000                        km;04.2012;Berline;32 000        DT;1700;Essence
Citroën;C3;Manuelle;5                        cv;Intégrale;166 000                        km;12.2010;Citadine;25 000        DT;1124;Essence
Peugeot;206+;Manuelle;4                        cv;Traction;175 000                        km;09.2012;Citadine;24 500        DT;1011;Essence
Mini;Coupé;Manuelle;5                        cv;Traction;138 000                        km;09.2009;Compacte;28 500        DT;900;Essence
Renault;Symbol;Manuelle;5                        cv;Traction;44 000                        km;11.2018;Berline;42 000        DT;1400;Essence
Hyundai;i20;Manuelle;5                        cv;Traction;147 000                        km;11.2016;Berline;42 000        DT;1197;Essence
Citroën;DS3;Manuelle;5                        cv;Traction;124 000                        km;12.2014;Coupé;30 000        DT;1199;Essence
Peugeot;4008;Manuelle;9                        cv;Intégrale;110 000                        km;02.2014;SUV/4x4;50 000        DT;1998;Essence
Volkswagen;Golf 7;Automatique;6                        cv;Traction;90 000                        km;11.2020;Citadine;77 000        DT;1199;Essence
Hyundai;Kona;Automatique;11                        cv;Intégrale;25 000                        km;06.2022;SUV/4x4;110 000        DT;1597;Essence
Seat;Leon;Manuelle;6                        cv;Traction;183 000                        km;11.2019;Citadine;52 000        DT;1197;Essence
Peugeot;4008;Manuelle;9                        cv;Traction;90 000                        km;02.2014;SUV/4x4;52 000        DT;2000;Essence
Volkswagen;Tiguan;Manuelle;8                        cv;Traction;65 000                        km;08.2019;SUV/4x4;80 000        DT;1498;Essence
Ford;Fiesta;Manuelle;5                        cv;Traction;181 000                        km;08.2011;Citadine;27 000        DT;1250;Essence
KIA;Rio 5p;Manuelle;5                        cv;Traction;50 000                        km;06.2021;Compacte;68 000        DT;1200;Essence
Land Rover;Freelander;Automatique;16                        cv;Intégrale;297 000                        km;02.2015;SUV/4x4;55 000        DT;1998;Essence
Renault;Clio;Manuelle;5                        cv;Traction;75 000                        km;06.2020;Coupé;57 000        DT;999.0                                                    ;Essence
KIA;Rio 5p;Manuelle;6                        cv;Traction;74 000                        km;01.2021;Berline;51 000        DT;1200;Essence
Mahindra;KUV 100;Manuelle;5                        cv;Traction;13 990                        km;01.2020;Compacte;36 000        DT;1200;Essence
Chevrolet;Cruze;Manuelle;7                        cv;Traction;109 000                        km;04.2017;Citadine;35 500        DT;1598;Essence
Seat;Leon;Manuelle;6                        cv;Traction;140 000                        km;05.2016;Coupé;46 000        DT;1200;Essence
Mercedes-Benz;Classe A;Manuelle;6                        cv;Traction;75 000                        km;09.2017;Compacte;89 000        DT;1600;Essence
Opel;Astra;Manuelle;6                        cv;Traction;81 000                        km;08.2019;Compacte;59 500        DT;3000;Essence
Ssangyong;Tivoli;Manuelle;6                        cv;Traction;60 000                        km;03.2021;SUV/4x4;64 000        DT;1200;Essence
Mercedes-Benz;ML;Automatique;15                        cv;Intégrale;160 000                        km;06.2009;SUV/4x4;90 000        DT;3000;Diesel
BMW;Série 3;Automatique;7                        cv;Traction;220 000                        km;08.2012;Berline;65 000        DT;1995;Diesel
Hyundai;Tucson;Automatique;10                        cv;Intégrale;33 000                        km;01.2023;SUV/4x4;108 000        DT;1598;Essence
Peugeot;301;Manuelle;5                        cv;Traction;109 400                        km;03.2015;Berline;27 500        DT;1199;Essence
Jeep;Compass;Manuelle;8                        cv;Intégrale;240 000                        km;03.2007;SUV/4x4;32 500        DT;1999;Diesel
Volkswagen;Golf 7;Manuelle;4                        cv;Traction;104 000                        km;09.2017;Citadine;58 000        DT;999;Essence
Citroën;C5 Aircross;Automatique;10                        cv;Intégrale;97 000                        km;09.2019;Autres;80 000        DT;3000;Essence
Ford;Focus;Manuelle;6                        cv;Traction;83 000                        km;01.2019;Berline;52 000        DT;899;Essence
Fiat;Punto;Manuelle;5                        cv;Traction;232 000                        km;12.2008;Citadine;17 700        DT;1250;Essence
Mercedes-Benz;Classe C;Automatique;8                        cv;Traction;63 000                        km;10.2020;Citadine;158 000        DT;1600;Essence
Volkswagen;Golf 7;Manuelle;5                        cv;Traction;233 000                        km;01.2015;Compacte;52 000        DT;1600;Diesel
Fiat;Palio;Manuelle;4                        cv;Traction;88 000                        km;07.2010;Citadine;20 100        DT;999;Essence
Mercedes-Benz;GLC Coupé;Automatique;17                        cv;Intégrale;75 000                        km;11.2020;SUV/4x4;200 000        DT;1991;Essence
BMW;Série 1;Automatique;7                        cv;Propulsion;99 000                        km;09.2019;Compacte;85 000        DT;1800;Essence
Nissan;Qashqai;Manuelle;6                        cv;Traction;302 000                        km;12.2011;SUV/4x4;49 000        DT;1499;Diesel
Mercedes-Benz;Classe C;Manuelle;7                        cv;Traction;62 000                        km;08.2019;Berline;120 000        DT;1595;Essence
Volkswagen;Golf 8;Manuelle;6                        cv;Traction;13 000                        km;01.2023;Berline;112 000        DT;999;Essence
MG;GT;Manuelle;6                        cv;Traction;154 000                        km;03.2018;Berline;38 500        DT;1498.0                                                    ;Essence
Volkswagen;Golf 7;Manuelle;7                        cv;Traction;85 000                        km;01.2019;Citadine;89 000        DT;1500;Essence
Mercedes-Benz;Classe C;Automatique;8                        cv;Traction;90 000                        km;01.2019;Citadine;148 000        DT;1600;Essence
Land Rover;Range Rover Velar;Automatique;14                        cv;Intégrale;83 000                        km;07.2018;SUV/4x4;258 000        DT;2000;Diesel
Lada;Niva;Manuelle;7                        cv;Propulsion;89 000                        km;07.2018;SUV/4x4;31 000        DT;1500;Essence
Porsche;Panamera;Automatique;20                        cv;Propulsion;203 000                        km;03.2012;Citadine;168 000        DT;3000;Essence
Volkswagen;T-Cross;Manuelle;6                        cv;Traction;4 000                        km;12.2023;SUV/4x4;75 853        DT;999;Essence
Mercedes-Benz;GLA;Automatique;7                        cv;Traction;43 000                        km;07.2022;SUV/4x4;185 000        DT;1500;Essence
Land Rover;Range Rover Evoque;Automatique;9                        cv;Intégrale;67 000                        km;01.2020;SUV/4x4;219 000        DT;2000;Hybride diesel
Volkswagen;Passat;Automatique;6                        cv;Traction;161 000                        km;07.2019;Citadine;82 000        DT;1600;Diesel
Mercedes-Benz;Classe C;Automatique;8                        cv;Traction;185 000                        km;09.2016;Berline;98 000        DT;1600;Essence
Nissan;Qashqai;Automatique;6                        cv;Traction;22 000                        km;05.2022;SUV/4x4;147 000        DT;1500;Hybride essence
Nissan;Juke;Automatique;6                        cv;Traction;40 000                        km;01.2021;SUV/4x4;95 000        DT;1000;Essence
Mercedes-Benz;Classe C;Automatique;12                        cv;Intégrale;15 000                        km;06.2022;Berline;248 000        DT;1500;Hybride essence
Volkswagen;Tiguan;Automatique;8                        cv;Traction;160 000                        km;11.2018;SUV/4x4;120 000        DT;1395;Essence
Audi;A4;Manuelle;7                        cv;Traction;187 000                        km;05.2013;Berline;46 000        DT;1800;Essence
Audi;A3 Berline;Manuelle;5                        cv;Traction;220 000                        km;02.2013;Compacte;49 000        DT;1300;Essence
Mercedes-Benz;Classe E;Automatique;9                        cv;Traction;130 000                        km;02.2018;Berline;133 000        DT;1600;Essence
Seat;Ibiza;Manuelle;4                        cv;Traction;40 000                        km;08.2021;Citadine;52 000        DT;899;Essence
KIA;Rio 5p;Manuelle;5                        cv;Traction;66 000                        km;06.2021;Berline;64 500        DT;1298;Essence
Volkswagen;Polo;Manuelle;4                        cv;Traction;86 000                        km;01.2020;Citadine;41 500        DT;1299;Essence
Mercedes-Benz;Classe A;Automatique;6                        cv;Traction;120 000                        km;10.2015;Citadine;72 000        DT;899;Essence
Hyundai;i20;Manuelle;5                        cv;Traction;154 100                        km;07.2020;Berline;44 000        DT;1197;Essence
Hyundai;i10;Manuelle;5                        cv;Traction;169 000                        km;07.2020;Berline;32 000        DT;1248.0                                                    ;Essence
Hyundai;Solaris;Manuelle;6                        cv;Traction;163 000                        km;03.2017;Berline;35 000        DT;1400;Essence
Mitsubishi;Mirage;Automatique;4                        cv;Propulsion;130 000                        km;07.2014;Citadine;29 000        DT;1200;Essence
Lada;Niva;Manuelle;7                        cv;Intégrale;100 000                        km;03.2018;SUV/4x4;30 000        DT;1690;Essence
Fiat;500 C;Automatique;6                        cv;Traction;143 000                        km;07.2013;Cabriolet;38 000        DT;1400;Essence
Volkswagen;Golf 8;Manuelle;6                        cv;Traction;12 000                        km;01.2021;Compacte;109 000        DT;1000;Essence
Alfa Romeo;Giulietta;Manuelle;7                        cv;Propulsion;30 000                        km;05.2019;Compacte;75 000        DT;1400;Essence
Ssangyong;Tivoli;Manuelle;7                        cv;Traction;85 000                        km;01.2018;SUV/4x4;54 000        DT;1600;Essence
KIA;Picanto;Automatique;5                        cv;Traction;78 000                        km;04.2020;Citadine;37 500        DT;1200;Essence
Mercedes-Benz;Classe C;Automatique;8                        cv;Traction;186 000                        km;02.2015;Autres;105 000        DT;921;Essence
Haval;H2;Automatique;9                        cv;Traction;67 000                        km;12.2017;SUV/4x4;62 000        DT;1750;Essence
Tesla;Model 3;Automatique;9                        cv;Propulsion;29 990                        km;07.2023;Berline;180 000        DT;2000;Electrique
Peugeot;208;Automatique;4                        cv;Traction;70 000                        km;11.2020;Citadine;70 000        DT;1200;Electrique
Audi;A3 Sportback;Automatique;8                        cv;Traction;25 000                        km;02.2023;Berline;155 000        DT;1500;Essence
Peugeot;3008;Automatique;7                        cv;Traction;71 000                        km;11.2019;SUV/4x4;89 000        DT;1200;Essence
Mazda;CX-5;Automatique;9                        cv;Intégrale;53 000                        km;03.2019;SUV/4x4;115 000        DT;2000;Essence
Volkswagen;Golf 7;Manuelle;6                        cv;Traction;100 000                        km;03.2020;Coupé;76 000        DT;999;Essence
Volkswagen;Jetta;Manuelle;6                        cv;Traction;125 000                        km;09.2013;Berline;39 500        DT;1600;Essence
Fiat;500;Automatique;4                        cv;Traction;82 000                        km;10.2016;Coupé;43 500        DT;1200;Essence
Seat;Arona;Manuelle;6                        cv;Traction;50 000                        km;01.2022;SUV/4x4;76 000        DT;1595;Essence
Peugeot;Boxer;Manuelle;7                        cv;Traction;200 100                        km;06.2007;Utilitaire;19 800        DT;1219;Diesel
Mercedes-Benz;Classe A;Automatique;6                        cv;Traction;70 000                        km;03.2019;Compacte;123 000        DT;1500;Diesel
Peugeot;3008;Automatique;8                        cv;Traction;78 000                        km;06.2019;SUV/4x4;76 000        DT;1600;Essence
Chery;Tiggo 2;Manuelle;6                        cv;Traction;33 000                        km;09.2020;SUV/4x4;47 000        DT;1500;Essence
Great Wall;M4;Manuelle;6                        cv;Traction;36 000                        km;02.2021;Autres;47 000        DT;1000;Essence
Renault;Clio;Manuelle;5                        cv;Traction;63 000                        km;01.2021;Compacte;42 000        DT;3000;Essence
Mercedes-Benz;Classe C;Automatique;9                        cv;Propulsion;210 000                        km;01.2010;Berline;52 000        DT;1600;Essence
Volkswagen;Touareg;Automatique;16                        cv;Traction;170 000                        km;01.2009;SUV/4x4;72 000        DT;3000;Diesel
Mercedes-Benz;Classe C;Automatique;8                        cv;Propulsion;160 000                        km;01.2015;Berline;106 000        DT;1600;Essence
Toyota;C-HR;Automatique;6                        cv;Traction;120 000                        km;01.2018;SUV/4x4;65 500        DT;1200;Essence
Volkswagen;Caddy;Manuelle;5                        cv;Traction;133 000                        km;01.2020;Utilitaire;51 000        DT;1600;Diesel
Seat;Ibiza;Manuelle;4                        cv;Traction;40 000                        km;02.2022;Compacte;64 000        DT;1000;Essence
KIA;Sorento;Automatique;12                        cv;Traction;120 000                        km;01.2016;SUV/4x4;95 000        DT;2200;Diesel
KIA;Sportage;Automatique;10                        cv;Traction;140 000                        km;01.2018;SUV/4x4;125 000        DT;2000;Diesel
Mitsubishi;Pajero;Automatique;11                        cv;Propulsion;144 000                        km;10.2014;SUV/4x4;118 000        DT;2800;Diesel
Volkswagen;Polo;Manuelle;4                        cv;Traction;95 000                        km;05.2021;Citadine;54 000        DT;1000;Essence
Land Rover;Range Rover;Automatique;15                        cv;Traction;97 000                        km;01.2014;SUV/4x4;110 000        DT;2000;Essence
Volkswagen;Scirocco;Automatique;9                        cv;Traction;60 000                        km;01.2010;Coupé;44 000        DT;1400;Essence
BMW;Série 7;Automatique;8                        cv;Propulsion;10 000                        km;05.2019;Berline;290 000        DT;2000;Essence
DS;5;Automatique;6                        cv;Traction;260 000                        km;01.2012;Citadine;44 000        DT;1600;Diesel
Mahindra;KUV 100;Manuelle;5                        cv;Traction;56 000                        km;09.2020;SUV/4x4;34 500        DT;1198;Essence
Fiat;500;Automatique;6                        cv;Traction;135 000                        km;06.2013;Coupé;37 000        DT;1500;Essence
Ford;Focus;Manuelle;6                        cv;Traction;128 000                        km;10.2007;Citadine;24 000        DT;903;Essence
Land Rover;Range Rover Sport;Automatique;32                        cv;Intégrale;150 000                        km;12.2009;SUV/4x4;65 000        DT;4199;Essence
Hyundai;Grand i10;Manuelle;5                        cv;Traction;44 000                        km;11.2021;Autres;48 000        DT;1197;Essence
Haval;H6;Automatique;5                        cv;Traction;105 000                        km;08.2019;SUV/4x4;76 000        DT;1499;Essence
Dongfeng;S50;Manuelle;6                        cv;Traction;120 000                        km;12.2019;Berline;39 000        DT;1500;Essence
Dongfeng;S50;Manuelle;6                        cv;Traction;88 000                        km;06.2020;Berline;42 200        DT;1500;Essence
Audi;A3 Berline;Manuelle;5                        cv;Propulsion;170 000                        km;01.2015;Berline;57 000        DT;1197;Essence
Audi;A4;Automatique;7                        cv;Traction;235 000                        km;12.2014;Berline;47 000        DT;1798;Essence
Ford;Ranger;Automatique;7                        cv;Intégrale;80 000                        km;12.2018;Pick up;128 000        DT;2200;Diesel
MG;ZS;Automatique;7                        cv;Traction;75 000                        km;01.2019;SUV/4x4;64 500        DT;1500;Essence
BMW;Série 3;Automatique;7                        cv;Traction;130 000                        km;06.2019;Berline;110 000        DT;899;Essence
Mercedes-Benz;Classe C;Automatique;9                        cv;Traction;150 000                        km;05.2010;Berline;55 000        DT;899;Essence
Peugeot;301;Manuelle;5                        cv;Traction;86 000                        km;05.2019;Berline;27 500        DT;899;Essence
Honda;Accord;Automatique;18                        cv;Traction;44 000                        km;01.2011;SUV/4x4;75 000        DT;2011;Essence
Volkswagen;Golf 7;Automatique;5                        cv;Traction;120 000                        km;08.2017;Citadine;61 500        DT;1198;Essence
Porsche;Macan;Automatique;17                        cv;Intégrale;10 000                        km;01.2022;SUV/4x4;365 000        DT;1984;Essence
Volkswagen;Tiguan;Automatique;8                        cv;Traction;185 000                        km;09.2017;SUV/4x4;73 000        DT;1400;Essence
Mercedes-Benz;Classe A;Manuelle;5                        cv;Traction;200 000                        km;03.2014;Citadine;56 000        DT;1498;Diesel
BMW;Série 4 Gran Coupé;Automatique;10                        cv;Intégrale;119 000                        km;04.2016;Coupé;147 000        DT;2000;Essence
Seat;Leon;Manuelle;6                        cv;Traction;112 000                        km;10.2015;Autres;60 000        DT;1197;Essence
Mercedes-Benz;CLA;Automatique;7                        cv;Intégrale;52 000                        km;07.2019;Berline;158 000        DT;1330;Essence
MG;5;Automatique;7                        cv;Traction;21 000                        km;09.2022;Berline;60 500        DT;1499;Essence
BMW;Série 1;Manuelle;6                        cv;Traction;183 000                        km;08.2012;Compacte;47 000        DT;2000;Essence
Haval;H6;Automatique;8                        cv;Traction;18 000                        km;04.2022;SUV/4x4;117 000        DT;1500;Essence
Volkswagen;Polo;Manuelle;4                        cv;Traction;270 000                        km;07.2004;Utilitaire;16 500        DT;1600;Essence
Volkswagen;Golf 7;Manuelle;6                        cv;Traction;43 009                        km;12.2019;Berline;87 000        DT;3000;Essence
KIA;Sportage;Automatique;8                        cv;Propulsion;150 000                        km;10.2019;Utilitaire;89 000        DT;1600;Essence
Opel;Adam;Manuelle;7                        cv;Traction;96 000                        km;03.2014;Compacte;45 500        DT;1229.0                                                    ;Essence
KIA;Picanto;Automatique;5                        cv;Propulsion;120 000                        km;02.2014;Citadine;33 000        DT;1200;Essence
KIA;Picanto;Manuelle;4                        cv;Propulsion;50 000                        km;08.2020;Citadine;39 000        DT;1200;Essence
BMW;X1;Automatique;9                        cv;Traction;180 000                        km;01.2011;SUV/4x4;58 000        DT;1800;Essence
Land Rover;Range Rover Sport;Automatique;13                        cv;Intégrale;174 000                        km;06.2008;Autres;130 000        DT;2700;Diesel
Mercedes-Benz;GLE Coupé;Automatique;19                        cv;Traction;80 000                        km;03.2017;SUV/4x4;420 000        DT;3500;Diesel
BMW;Série 4 Coupé;Automatique;14                        cv;Propulsion;130 000                        km;10.2014;Coupé;160 000        DT;2800;Essence
Citroën;C4 Cactus;Manuelle;4                        cv;Propulsion;110 000                        km;10.2016;Citadine;45 000        DT;1200;Essence
Seat;Ibiza;Manuelle;5                        cv;Propulsion;150 000                        km;01.2018;Citadine;42 000        DT;1400;Essence
BMW;Série 3;Automatique;8                        cv;Propulsion;90 000                        km;01.2017;Berline;105 000        DT;1800;Essence
Mercedes-Benz;Classe C;Automatique;9                        cv;Propulsion;130 000                        km;08.2013;Berline;70 000        DT;1800;Essence
Ford;Fiesta;Manuelle;5                        cv;Traction;123 000                        km;12.2016;Citadine;35 800        DT;1242;Essence
Nissan;Qashqai;Manuelle;6                        cv;Traction;124 000                        km;04.2019;SUV/4x4;85 000        DT;1500;Diesel
Mercedes-Benz;Classe A;Automatique;6                        cv;Traction;25 000                        km;04.2021;Compacte;160 000        DT;1398;Hybride essence
Mazda;2;Automatique;6                        cv;Traction;60 000                        km;10.2018;Compacte;45 000        DT;1496;Essence
Hyundai;Grand Santa Fe;Automatique;12                        cv;Intégrale;107 000                        km;10.2018;SUV/4x4;135 000        DT;2100;Diesel
Renault;Megane Sedan;Manuelle;7                        cv;Traction;14 000                        km;02.2019;Berline;75 000        DT;1297;Essence
Fiat;Doblo;Manuelle;6                        cv;Traction;33 000                        km;07.2021;Monospace;56 000        DT;1368;Essence
BMW;Série 2 Active Tourer;Automatique;7                        cv;Traction;142 000                        km;06.2015;Berline;78 800        DT;1500;Essence
Mercedes-Benz;Classe A;Automatique;5                        cv;Traction;180 000                        km;02.2014;Berline;59 800        DT;1461;Diesel
Chery;Tiggo 2;Manuelle;6                        cv;Propulsion;106 000                        km;03.2021;SUV/4x4;45 000        DT;1400;Essence
Seat;Ibiza;Automatique;6                        cv;Traction;100 000                        km;08.2020;Compacte;69 500        DT;1595;Essence
Peugeot;3008;Manuelle;7                        cv;Traction;86 000                        km;01.2012;SUV/4x4;42 000        DT;1600;Essence
Suzuki;Dzire;Manuelle;5                        cv;Traction;104 000                        km;01.2021;Berline;38 500        DT;1200;Essence
KIA;Sorento;Automatique;12                        cv;Intégrale;230 000                        km;10.2013;SUV/4x4;67 000        DT;2200;Diesel
Volkswagen;Polo;Manuelle;4                        cv;Traction;26 000                        km;08.2021;Compacte;56 000        DT;999;Essence
BAIC YX;Kenbo S2;Manuelle;7                        cv;Propulsion;51 000                        km;01.2018;SUV/4x4;42 800        DT;1498;Essence
BMW;Série 1;Automatique;8                        cv;Traction;40 000                        km;05.2020;Compacte;135 000        DT;1600;Essence
Seat;Leon;Manuelle;6                        cv;Traction;60 000                        km;08.2019;Compacte;61 000        DT;1200;Essence
Hyundai;Grand i10;Automatique;5                        cv;Traction;52 000                        km;03.2021;Compacte;53 500        DT;1200;Essence
Citroën;C4;Manuelle;6                        cv;Traction;94 000                        km;12.2017;Compacte;42 000        DT;1199;Essence
Suzuki;SJ Samurai;Manuelle;5                        cv;Propulsion;440 000                        km;02.1985;SUV/4x4;19 000        DT;1300;Essence
MG;GT;Manuelle;6                        cv;Intégrale;220 000                        km;12.2017;Autres;25 000        DT;900;Essence
Volkswagen;Golf 7;Automatique;6                        cv;Traction;126 800                        km;12.2018;Compacte;74 000        DT;1197;Essence
Dacia;Sandero;Manuelle;5                        cv;Propulsion;118 000                        km;08.2021;Citadine;36 000        DT;999;Essence
Peugeot;208;Manuelle;5                        cv;Traction;186 000                        km;06.2014;Compacte;29 800        DT;1200;Essence
Citroën;C3;Manuelle;4                        cv;Traction;195 000                        km;09.2006;Citadine;19 500        DT;1100;Essence
Renault;Clio;Manuelle;5                        cv;Traction;67 000                        km;01.2021;Coupé;45 500        DT;1200;Essence
Volkswagen;Passat;Manuelle;7                        cv;Traction;67 000                        km;06.2018;Berline;76 000        DT;1400;Essence
BMW;Série 1;Manuelle;7                        cv;Propulsion;181 800                        km;12.2004;Compacte;29 000        DT;1596;Essence
Renault;Kwid Populaire;Manuelle;4                        cv;Traction;62 000                        km;04.2022;Citadine;35 000        DT;899;Essence
Seat;Ibiza;Manuelle;6                        cv;Traction;70 568                        km;12.2020;Citadine;47 000        DT;1000;Essence
Volkswagen;Polo;Manuelle;5                        cv;Traction;112 000                        km;02.2020;Citadine;57 000        DT;1599;Diesel
Peugeot;208;Manuelle;5                        cv;Traction;158 000                        km;01.2021;Citadine;45 500        DT;1599;Diesel
Volkswagen;Golf 7;Automatique;6                        cv;Traction;158 000                        km;10.2019;Citadine;86 000        DT;1599;Diesel
Toyota;RAV 4;Automatique;9                        cv;Traction;128 000                        km;01.2018;SUV/4x4;98 000        DT;1988;Essence
Mercedes-Benz;Classe C;Automatique;6                        cv;Traction;88 000                        km;06.2021;Berline;149 000        DT;1599;Diesel
Peugeot;3008;Automatique;6                        cv;Traction;148 000                        km;10.2019;SUV/4x4;79 000        DT;1199;Essence
Mercedes-Benz;CLA;Automatique;8                        cv;Traction;89 000                        km;01.2021;Berline;169 000        DT;1599;Essence
KIA;Rio 5p;Manuelle;5                        cv;Traction;108 000                        km;01.2021;Citadine;56 000        DT;1199;Essence
Mercedes-Benz;Classe C;Automatique;9                        cv;Traction;260 000                        km;02.2014;Berline;62 000        DT;1599;Essence
Mercedes-Benz;CLA;Automatique;6                        cv;Traction;138 000                        km;08.2020;Coupé;139 000        DT;1599;Diesel
Nissan;Pathfinder;Automatique;12                        cv;Intégrale;400 000                        km;11.2013;SUV/4x4;57 000        DT;2500;Diesel
Land Rover;Range Rover;Automatique;32                        cv;Intégrale;55 000                        km;04.2010;SUV/4x4;189 000        DT;4197;Essence
Mercedes-Benz;Classe A;Automatique;7                        cv;Traction;126 000                        km;01.2019;Berline;135 000        DT;1300;Diesel
Chery;Tiggo 7 Pro;Automatique;9                        cv;Traction;70 000                        km;02.2022;SUV/4x4;80 000        DT;1400;Essence
Citroën;Berlingo Multispace;Manuelle;5                        cv;Traction;150 000                        km;01.2016;Monospace;55 000        DT;1500;Diesel
Peugeot;2008 GT;Automatique;6                        cv;Traction;125 000                        km;05.2018;SUV/4x4;65 000        DT;1200;Essence
Toyota;Prado;Manuelle;9                        cv;Traction;174 000                        km;10.2012;SUV/4x4;155 000        DT;3000;Diesel
Mercedes-Benz;Classe C;Automatique;10                        cv;Traction;12 000                        km;04.2023;Berline;249 000        DT;1400;Hybride essence
Mercedes-Benz;Classe C;Automatique;6                        cv;Traction;150 000                        km;03.2019;Berline;150 000        DT;1600;Diesel
Audi;Q5;Automatique;10                        cv;Traction;176 000                        km;01.2015;SUV/4x4;115 000        DT;2000;Diesel
Porsche;Macan;Automatique;23                        cv;Traction;121 000                        km;01.2015;SUV/4x4;225 000        DT;3000;Essence
Iveco;Daily Double Cabine;Manuelle;10                        cv;Traction;11 000                        km;11.2019;Utilitaire;105 000        DT;3000;Diesel
KIA;Rio 5p;Manuelle;5                        cv;Traction;34 000                        km;06.2022;Berline;64 000        DT;1200;Essence
Volkswagen;Passat CC;Automatique;10                        cv;Traction;167 000                        km;07.2014;Berline;55 000        DT;1800;Essence
Nissan;Qashqai;Automatique;6                        cv;Traction;99 000                        km;05.2017;SUV/4x4;65 000        DT;1200;Essence
Hyundai;Grand i10;Manuelle;5                        cv;Traction;35 000                        km;10.2022;Berline;49 000        DT;1200;Essence
BMW;Série 3;Automatique;7                        cv;Traction;112 000                        km;03.2013;Berline;65 000        DT;1600;Essence
Volkswagen;Golf 8;Manuelle;8                        cv;Traction;20 000                        km;03.2022;Berline;135 000        DT;1500;Essence
Mercedes-Benz;Classe C;Automatique;9                        cv;Traction;5 000                        km;04.2022;Berline;195 000        DT;1500;Hybride essence
Volkswagen;Passat;Manuelle;6                        cv;Traction;264 000                        km;12.2007;Berline;36 500        DT;1900;Diesel
Nissan;Qashqai;Automatique;6                        cv;Traction;145 000                        km;02.2017;SUV/4x4;65 000        DT;1200;Essence
Renault;Captur;Automatique;5                        cv;Traction;100 000                        km;08.2018;SUV/4x4;65 000        DT;1500;Diesel
BMW;X1;Automatique;9                        cv;Traction;220 000                        km;09.2014;SUV/4x4;72 000        DT;2000;Essence
KIA;Picanto;Automatique;4                        cv;Traction;0                        km;03.2024;Berline;63 000        DT;1200;Essence
Volkswagen;T-roc;Manuelle;6                        cv;Traction;49 000                        km;07.2020;SUV/4x4;110 000        DT;1200;Essence
Volkswagen;Golf 7;Manuelle;6                        cv;Traction;90 000                        km;06.2018;Berline;79 000        DT;1000;Essence
KIA;Picanto Populaire;Manuelle;4                        cv;Traction;40 000                        km;08.2020;Citadine;38 600        DT;1000;Essence
Seat;Ibiza;Manuelle;4                        cv;Traction;74 000                        km;03.2021;Citadine;60 000        DT;999;Essence
BMW;Série 5;Automatique;10                        cv;Propulsion;39 000                        km;02.2022;Berline;245 000        DT;1600;Essence
KIA;Rio Berline;Manuelle;6                        cv;Traction;95 000                        km;12.2019;Berline;56 000        DT;1444;Essence
