Marque;Modèle;Boite vitesse;Puissance fiscale;Transmission;Kilométrage;Mise en circulation;Carrosserie;price;cylindre;Énergie
Peugeot;Partner;Manuelle;6                        cv;Traction;200 000                        km;02.2007;Utilitaire;16 000        DT;1560;Diesel
Haval;H6;Automatique;9                        cv;Traction;64 000                        km;11.2020;SUV/4x4;89 000        DT;1499;Essence
Mercedes-Benz;Classe C;Automatique;11                        cv;Traction;181 000                        km;06.2014;Berline;74 000        DT;1796;Essence
MG;GT;Manuelle;6                        cv;Traction;103 000                        km;03.2017;Berline;39 500        DT;1498;Essence
Iveco;Daily Fourgon;Manuelle;8                        cv;Propulsion;40 000                        km;05.2018;Utilitaire;88 000        DT;3000;Diesel
Mercedes-Benz;Classe C coupé;Automatique;8                        cv;Propulsion;83 000                        km;11.2017;Coupé;155 000        DT;1600;Essence
Land Rover;Discovery Sport;Automatique;8                        cv;Traction;58 000                        km;06.2019;SUV/4x4;160 000        DT;2000;Essence
Dacia;Duster;Manuelle;7                        cv;Intégrale;16 000                        km;10.2022;SUV/4x4;92 000        DT;1499;Diesel
Ford;Focus;Manuelle;6                        cv;Traction;169 000                        km;01.2018;Citadine;45 000        DT;900;Essence
BMW;Série 5;Automatique;10                        cv;Traction;46 000                        km;04.2018;Berline;168 000        DT;1597;Essence
Citroën;C-Elysée;Manuelle;5                        cv;Traction;178 000                        km;05.2016;Berline;22 000        DT;1199;Essence
Audi;A6;Automatique;12                        cv;Traction;350 000                        km;11.2012;Berline;58 000        DT;3000;Essence
Opel;Corsa;Manuelle;4                        cv;Traction;220 000                        km;05.2005;Citadine;14 000        DT;1400;Diesel
KIA;Rio 5p;Manuelle;5                        cv;Traction;112 000                        km;03.2020;Citadine;54 000        DT;1197;Essence
Citroën;C3;Manuelle;5                        cv;Traction;80 000                        km;10.2018;Citadine;45 000        DT;1398;Essence
Fiat;Grande Punto;Manuelle;5                        cv;Traction;142 000                        km;03.2012;Citadine;23 000        DT;1242;Essence
BMW;Série 3;Manuelle;9                        cv;Traction;200 000                        km;12.1992;Berline;22 000        DT;1796;Essence
Volkswagen;Golf 7;Manuelle;6                        cv;Propulsion;107 000                        km;11.2017;Berline;68 000        DT;4000;Essence
Citroën;C-Elysée;Manuelle;5                        cv;Traction;138 000                        km;07.2015;Berline;23 000        DT;903;Essence
