prix;Kilométrage;Mise en circulation;Énergie;Boite vitesse;Puissance fiscale;Transmission;Carrosserie;Date de l'annonce;Gouvernorat;Marque;Modèle;Génération;Couleur extérieure;Couleur intérieure;Sellerie;Nombre de places;Nombre de portes;Cylindrée
215000DT;69000km;05.2021;Diesel;Automatique;9cv;Intégrale;Berline;25.03.2024;Tunis;Mercedes-Benz;ClasseE;"""""";Blanc;Noir;Cuirintégral;5;4;1989cm³
58000DT;175000km;07.2011;Diesel;Automatique;7cv;Propulsion;Berline;25.03.2024;Ariana;Mercedes-Benz;ClasseC;(204)Phase2Berline;"""""";"""""";"""""";"""""";"""""";""""""
174000DT;80000km;07.2018;Essence;Automatique;10cv;Propulsion;Coupé;25.03.2024;Ariana;Mercedes-Benz;ClasseEcoupé;(238)Coupé;"""""";"""""";"""""";"""""";"""""";""""""
59500DT;16000km;01.2023;Hybrideessence;Manuelle;6cv;Traction;Citadine;25.03.2024;Ariana;Fiat;500;e;"""""";"""""";"""""";"""""";"""""";""""""
158000DT;30000km;01.2022;Essence;Automatique;6cv;Traction;Berline;25.03.2024;Ariana;Mercedes-Benz;CLA;II(118)ShootingBrake;"""""";"""""";"""""";"""""";"""""";""""""
158000DT;35000km;10.2019;Hybriderechargeableessence;Automatique;5cv;Intégrale;SUV/4x4;25.03.2024;BenArous;Mini;Countryman;"""""";Bleu;Noir;Cuirintégral;4;4;""""""
49000DT;302000km;12.2011;Diesel;Manuelle;6cv;Traction;SUV/4x4;25.03.2024;Sousse;Nissan;Qashqai;"""""";Blanc;Noir;Cuirintégral;5;5;1499cm³
120000DT;62000km;08.2019;Essence;Manuelle;7cv;Traction;Berline;25.03.2024;Sfax;Mercedes-Benz;ClasseC;(205)Berline;"""""";"""""";"""""";"""""";"""""";""""""
112000DT;13000km;01.2023;Essence;Manuelle;6cv;Traction;Berline;25.03.2024;Sfax;Volkswagen;Golf8;VIIIHatchback;"""""";"""""";"""""";"""""";"""""";""""""
105000DT;40000km;06.2020;Essence;Automatique;7cv;Traction;Autres;25.03.2024;LaManouba;Peugeot;3008;"""""";Rouge;"""""";"""""";"""""";"""""";""""""
135000DT;126000km;01.2019;Diesel;Automatique;7cv;Traction;Berline;25.03.2024;Ariana;Mercedes-Benz;ClasseA;(W177)Hatchback;"""""";"""""";"""""";"""""";"""""";""""""
80000DT;70000km;02.2022;Essence;Automatique;9cv;Traction;SUV/4x4;25.03.2024;Ariana;Chery;Tiggo7Pro;"""""";Bleu;Noir;Cuirpartiel;5;4;1400cm³
197000DT;50000km;12.2020;Hybriderechargeableessence;Automatique;7cv;Traction;SUV/4x4;25.03.2024;Ariana;Mercedes-Benz;GLA;(X247);"""""";"""""";"""""";"""""";"""""";""""""
55000DT;150000km;01.2016;Diesel;Manuelle;5cv;Traction;Monospace;25.03.2024;Ariana;Citroën;BerlingoMultispace;"""""";Grisanthracite;Beige;Tissu;5;4;1500cm³
44000DT;36000km;05.2022;Essence;Manuelle;5cv;Traction;Berline;25.03.2024;Ariana;Toyota;Agya;"""""";Grisanthracite;Noir;Tissu;5;4;1200cm³
65000DT;125000km;05.2018;Essence;Automatique;6cv;Traction;SUV/4x4;25.03.2024;Ariana;Peugeot;2008GT;(A94)5HB;"""""";"""""";"""""";"""""";"""""";""""""
63000DT;62000km;12.2016;Essence;Manuelle;7cv;Traction;SUV/4x4;25.03.2024;Ariana;Renault;Kadjar;(06/2015-11/2018);Noir;Noir;Tissu;5;4;""""""
235000DT;151000km;01.2016;Essence;Automatique;24cv;Traction;SUV/4x4;25.03.2024;Ariana;LandRover;RangeRoverSport;SportII;"""""";"""""";"""""";"""""";"""""";""""""
72000DT;239000km;11.2013;Essence;Automatique;9cv;Traction;Berline;25.03.2024;Ariana;Mercedes-Benz;ClasseC;(204)Phase2Berline;"""""";"""""";"""""";"""""";"""""";""""""
55000DT;167000km;07.2014;Essence;Automatique;10cv;Traction;Berline;25.03.2024;Ariana;Volkswagen;PassatCC;"""""";Noir;Beige;Cuirintégral;4;4;1800cm³
65000DT;99000km;05.2017;Essence;Automatique;6cv;Traction;SUV/4x4;25.03.2024;Ariana;Nissan;Qashqai;IIPhase2(J11E);"""""";"""""";"""""";"""""";"""""";""""""
40000DT;21000km;12.2019;Essence;Manuelle;4cv;Traction;Berline;25.03.2024;Ariana;KIA;Picanto;(JA);"""""";"""""";"""""";"""""";"""""";""""""
49000DT;35000km;10.2022;Essence;Manuelle;5cv;Traction;Berline;25.03.2024;Ariana;Hyundai;Grandi10;III(AC3);"""""";"""""";"""""";"""""";"""""";""""""
65000DT;112000km;03.2013;Essence;Automatique;7cv;Traction;Berline;25.03.2024;Ariana;BMW;Série3;(F30)Berline;"""""";"""""";"""""";"""""";"""""";""""""
135000DT;20000km;03.2022;Essence;Manuelle;8cv;Traction;Berline;25.03.2024;Ariana;Volkswagen;Golf8;VIIIHatchback;"""""";"""""";"""""";"""""";"""""";""""""
195000DT;5000km;04.2022;Hybrideessence;Automatique;9cv;Traction;Berline;25.03.2024;Ariana;Mercedes-Benz;ClasseC;(206)Berline;"""""";"""""";"""""";"""""";"""""";""""""
36500DT;264000km;12.2007;Diesel;Manuelle;6cv;Traction;Berline;25.03.2024;Ariana;Volkswagen;Passat;B6Berline;"""""";"""""";"""""";"""""";"""""";""""""
65000DT;145000km;02.2017;Essence;Automatique;6cv;Traction;SUV/4x4;25.03.2024;Ariana;Nissan;Qashqai;II(J11E);"""""";"""""";"""""";"""""";"""""";""""""
65000DT;100000km;08.2018;Diesel;Automatique;5cv;Traction;SUV/4x4;25.03.2024;Ariana;Renault;Captur;IPhase2;"""""";"""""";"""""";"""""";"""""";""""""
72000DT;220000km;09.2014;Essence;Automatique;9cv;Traction;SUV/4x4;25.03.2024;Ariana;BMW;X1;(E84);"""""";"""""";"""""";"""""";"""""";""""""
65000DT;0km;03.2024;Essence;Automatique;4cv;Traction;Berline;25.03.2024;Ariana;KIA;Picanto;(JA)Phase2;"""""";"""""";"""""";"""""";"""""";""""""
110000DT;49000km;07.2020;Essence;Manuelle;6cv;Traction;SUV/4x4;25.03.2024;Ariana;Volkswagen;T-roc;Phase2;"""""";"""""";"""""";"""""";"""""";""""""
38500DT;154000km;03.2018;Essence;Manuelle;6cv;Traction;Berline;25.03.2024;Tunis;MG;GT;"""""";Noir;Noir;Cuirintégral;5;4;1498.0cm³
89000DT;85000km;01.2019;Essence;Manuelle;7cv;Traction;Citadine;25.03.2024;Ariana;Volkswagen;Golf7;VIIPhase25Portes;"""""";"""""";"""""";"""""";"""""";""""""
148000DT;90000km;01.2019;Essence;Automatique;8cv;Traction;Citadine;25.03.2024;Ariana;Mercedes-Benz;ClasseC;(205)Berline;"""""";"""""";"""""";"""""";"""""";""""""
340000DT;80000km;01.2020;Hybrideessence;Automatique;17cv;Intégrale;SUV/4x4;25.03.2024;Ariana;LandRover;RangeRoverSport;SportIIPhase2;"""""";"""""";"""""";"""""";"""""";""""""
219000DT;67000km;01.2020;Hybridediesel;Automatique;9cv;Intégrale;SUV/4x4;25.03.2024;Ariana;LandRover;RangeRoverEvoque;EvoqueII;"""""";"""""";"""""";"""""";"""""";""""""
82000DT;161000km;07.2019;Diesel;Automatique;6cv;Traction;Citadine;25.03.2024;Ariana;Volkswagen;Passat;"""""";Noir;Noir;Tissu;5;4;1600cm³
103000DT;66000km;11.2017;Essence;Automatique;8cv;Traction;Autres;25.03.2024;Ariana;Audi;Q3;"""""";GrisShark;"""""";Cuirintégral;"""""";"""""";""""""
95000DT;10000km;08.2020;Hybrideessence;Manuelle;6cv;Traction;Autres;25.03.2024;Ariana;Ford;Puma;"""""";Blanc;"""""";"""""";"""""";"""""";""""""
118000DT;11000km;06.2022;Hybrideessence;Automatique;8cv;Traction;SUV/4x4;25.03.2024;Ariana;Ford;Puma;"""""";Blanc;"""""";Cuirintégral;"""""";"""""";""""""
112000DT;100000km;05.2016;Essence;Automatique;7cv;Traction;Coupé;25.03.2024;Ariana;BMW;Série4GranCoupé;"""""";Blanc;"""""";Cuirintégral;"""""";"""""";""""""
82000DT;63000km;06.2018;Essence;Automatique;6cv;Traction;SUV/4x4;25.03.2024;Ariana;Nissan;Qashqai;"""""";Noir;"""""";Cuirintégral;"""""";"""""";""""""
69000DT;87000km;05.2018;Essence;Automatique;7cv;Traction;SUV/4x4;25.03.2024;Ariana;Fiat;500X;"""""";Rouge;"""""";Cuirintégral;"""""";"""""";""""""
168000DT;54000km;01.2011;Essence;Automatique;20cv;Propulsion;Berline;25.03.2024;Ariana;Porsche;Panamera;"""""";Blanc;"""""";Cuirintégral;"""""";"""""";""""""
118000DT;84000km;06.2017;Essence;Automatique;7cv;Traction;Coupé;25.03.2024;Ariana;BMW;Série4GranCoupé;"""""";Noir;"""""";Cuirintégral;"""""";"""""";""""""
98000DT;185000km;09.2016;Essence;Automatique;8cv;Traction;Berline;25.03.2024;Ariana;Mercedes-Benz;ClasseC;"""""";Blanc;Noir;Cuirpartiel;5;4;1600cm³
195000DT;13000km;10.2021;Hybriderechargeableessence;Automatique;11cv;Traction;Autres;25.03.2024;Ariana;Mercedes-Benz;GLA;(X247);"""""";"""""";"""""";"""""";"""""";""""""
147000DT;22000km;05.2022;Hybrideessence;Automatique;6cv;Traction;SUV/4x4;25.03.2024;Ariana;Nissan;Qashqai;"""""";Blanc;Noir;Cuirintégral;5;5;1500cm³
95000DT;40000km;01.2021;Essence;Automatique;6cv;Traction;SUV/4x4;25.03.2024;Ariana;Nissan;Juke;"""""";Blanc;Noir;Alcantara;5;5;1000cm³
248000DT;15000km;06.2022;Hybrideessence;Automatique;12cv;Intégrale;Berline;25.03.2024;Ariana;Mercedes-Benz;ClasseC;(206)Berline;"""""";"""""";"""""";"""""";"""""";""""""
120000DT;160000km;11.2018;Essence;Automatique;8cv;Traction;SUV/4x4;25.03.2024;Tunis;Volkswagen;Tiguan;II;"""""";"""""";"""""";"""""";"""""";""""""
132000DT;92000km;08.2019;Diesel;Automatique;7cv;Propulsion;Berline;25.03.2024;Tunis;Mercedes-Benz;ClasseC;"""""";Bleu;"""""";Cuirintégral;"""""";"""""";""""""
46000DT;187000km;05.2013;Essence;Manuelle;7cv;Traction;Berline;25.03.2024;Tunis;Audi;A4;"""""";Blanc;Noir;Tissu;5;4;1800cm³
69000DT;185000km;08.2007;Essence;Automatique;23cv;Propulsion;SUV/4x4;25.03.2024;Tunis;LandRover;Discovery;"""""";GrisShark;"""""";Cuirintégral;"""""";"""""";""""""
133000DT;130000km;02.2018;Essence;Automatique;9cv;Traction;Berline;25.03.2024;Tunis;Mercedes-Benz;ClasseE;"""""";Noir;Marron;Cuirintégral;5;4;1600cm³
52000DT;40000km;08.2021;Essence;Manuelle;4cv;Traction;Citadine;25.03.2024;Ariana;Seat;Ibiza;VPhase2;"""""";"""""";"""""";"""""";"""""";""""""
220000DT;84000km;01.2018;Essence;Automatique;16cv;Intégrale;SUV/4x4;25.03.2024;Tunis;LandRover;RangeRoverVelar;"""""";Marron;Beige;Cuirintégral;5;4;2000cm³
180000DT;31000km;10.2021;Essence;Automatique;9cv;Traction;Berline;25.03.2024;Tunis;Mercedes-Benz;CLA;"""""";Blanc;Noir;Alcantara;5;4;1300cm³
65000DT;67000km;05.2018;Essence;Manuelle;7cv;Traction;Autres;25.03.2024;Tunis;Renault;Kadjar;(06/2015-11/2018);Bleu;Noir;Tissu;5;4;1200cm³
650000DT;27000km;07.2015;Essence;Automatique;47cv;Intégrale;SUV/4x4;25.03.2024;Tunis;Mercedes-Benz;ClasseG;#NOM?;"""""";"""""";"""""";"""""";"""""";""""""
140000DT;115000km;11.2014;Essence;Automatique;15cv;Traction;SUV/4x4;25.03.2024;Tunis;LandRover;DiscoverySport;"""""";Marron;Noir;Cuirintégral;5;4;2000cm³
430000DT;58000km;05.2020;Essence;Automatique;23cv;Traction;SUV/4x4;25.03.2024;Tunis;Porsche;Cayenne;"""""";Blanc;Marron;Cuirintégral;6;4;3000cm³
32000DT;54000km;04.2019;Essence;Manuelle;5cv;Traction;SUV/4x4;25.03.2024;Tunis;Mahindra;KUV100;"""""";Blanc;65;"""""";"""""";"""""";""""""
90000DT;37000km;09.2021;Essence;Automatique;7cv;Traction;SUV/4x4;25.03.2024;Tunis;Peugeot;2008;"""""";Blanc;Gris;Tissu;5;4;1200cm³
148000DT;160000km;04.2011;Essence;Automatique;15cv;Traction;SUV/4x4;25.03.2024;Tunis;Toyota;Prado;"""""";GrisShark;Beige;Cuirintégral;5;4;2700cm³
115000DT;93000km;12.2019;Essence;Automatique;11cv;Traction;SUV/4x4;25.03.2024;Tunis;KIA;Sportage;"""""";GrisShark;Noir;Cuirintégral;5;4;1600cm³
380000DT;81000km;10.2019;Hybrideessence;Automatique;22cv;Intégrale;SUV/4x4;25.03.2024;Tunis;LandRover;RangeRoverSport;SportIIPhase2;"""""";"""""";"""""";"""""";"""""";""""""
185000DT;136000km;11.2015;Essence;Automatique;20cv;Intégrale;SUV/4x4;25.03.2024;Tunis;Jeep;Wrangler;"""""";Noir;Marron;Cuirintégral;5;4;3600cm³
120000DT;130000km;04.2014;Diesel;Automatique;9cv;Traction;Berline;25.03.2024;Tunis;Mercedes-Benz;ClasseC;(205)Berline;"""""";"""""";"""""";"""""";"""""";""""""
35000DT;40000km;12.1970;Essence;Manuelle;9cv;Traction;Autres;25.03.2024;Tunis;Fiat;125;(08/1967-12/1973);Noir;Rouge;Cuirintégral;5;4;1600cm³
155000DT;303000km;06.2009;Essence;Automatique;20cv;Intégrale;SUV/4x4;25.03.2024;Tunis;Toyota;LandCruiser;"""""";Noir;Beige;Cuirintégral;7;4;4700cm³
155000DT;60000km;03.2020;Diesel;Automatique;6cv;Traction;Autres;25.03.2024;Tunis;Mercedes-Benz;CLA;"""""";Noir;"""""";"""""";"""""";"""""";""""""
118000DT;133000km;05.2016;Essence;Automatique;8cv;Traction;Berline;25.03.2024;Tunis;Mercedes-Benz;ClasseC;"""""";GrisShark;"""""";"""""";"""""";"""""";""""""
130000DT;69000km;03.2017;Essence;Automatique;13cv;Traction;Compacte;25.03.2024;Tunis;Volkswagen;Golf7;"""""";Blanc;Gris;Tissu;5;4;2000cm³
435000DT;56000km;06.2019;Essence;Automatique;25cv;Intégrale;SUV/4x4;25.03.2024;Tunis;Porsche;CayenneCoupé;"""""";Noir;"""""";"""""";"""""";"""""";""""""
440000DT;79000km;02.2020;Essence;Automatique;25cv;Intégrale;SUV/4x4;25.03.2024;Tunis;Porsche;CayenneCoupé;"""""";GrisShark;"""""";"""""";"""""";"""""";""""""
183000DT;70000km;09.2021;Essence;Automatique;9cv;Traction;Berline;25.03.2024;Tunis;BMW;Série3;"""""";GrisShark;"""""";"""""";"""""";"""""";""""""
160000DT;97000km;01.2020;Essence;Automatique;10cv;Traction;Berline;25.03.2024;Tunis;BMW;Série3;"""""";Bleu;Noir;Similicuir;5;4;""""""
530000DT;4700km;06.2022;Essence;Automatique;23cv;Traction;Berline;25.03.2024;Tunis;Porsche;Cayenne;"""""";GrisShark;"""""";"""""";"""""";"""""";""""""
68000DT;114000km;09.2016;Essence;Automatique;7cv;Traction;Autres;25.03.2024;Tunis;BMW;Série2ActiveTourer;"""""";Noir;Beige;Cuirintégral;5;4;1600cm³
290000DT;37000km;02.2021;Essence;Automatique;12cv;Intégrale;SUV/4x4;25.03.2024;Tunis;Jaguar;E-Pace;"""""";Blanc;"""""";"""""";"""""";"""""";""""""
178000DT;75000km;03.2020;Essence;Automatique;10cv;Traction;Berline;25.03.2024;Tunis;BMW;Série5;"""""";Noir;"""""";"""""";"""""";"""""";""""""
108000DT;139000km;02.2016;Essence;Automatique;8cv;Traction;Berline;25.03.2024;Tunis;Mercedes-Benz;ClasseC;"""""";Noir;Beige;Cuirintégral;5;4;1600cm³
185000DT;80000km;07.2012;Essence;Automatique;20cv;Traction;Berline;25.03.2024;Tunis;Porsche;Panamera;"""""";Blanc;Beige;Cuirintégral;4;4;3605cm³
110000DT;231000km;06.2010;Diesel;Automatique;12cv;Intégrale;SUV/4x4;25.03.2024;Tunis;Mercedes-Benz;ML;"""""";Blanc;Noir;Alcantara;5;4;3000cm³
190000DT;57000km;08.2019;Essence;Automatique;20cv;Intégrale;Autres;25.03.2024;Tunis;Volkswagen;Golf7;"""""";Bleu;Beige;Cuirintégral;5;4;1984cm³
310000DT;22000km;05.2022;Hybrideessence;Automatique;10cv;Intégrale;SUV/4x4;25.03.2024;Tunis;Mercedes-Benz;GLCCoupé;"""""";Noir;Noir;Cuirintégral;5;4;2000cm³
126000DT;69000km;08.2021;Essence;Automatique;8cv;Traction;SUV/4x4;25.03.2024;Tunis;Volkswagen;Tiguan;"""""";Noir;Gris;Tissu;5;4;1400cm³
240000DT;114000km;09.2015;Diesel;Automatique;19cv;Traction;SUV/4x4;25.03.2024;Tunis;LandRover;RangeRoverSport;SportII;"""""";"""""";"""""";"""""";"""""";""""""
85000DT;76000km;02.2020;Essence;Automatique;9cv;Traction;SUV/4x4;25.03.2024;Tunis;Haval;H6;"""""";Blanc;Marron;Cuirintégral;5;4;1500cm³
64500DT;66000km;06.2021;Essence;Manuelle;5cv;Traction;Berline;25.03.2024;Nabeul;KIA;Rio5p;"""""";Blanc;Noir;Cuirintégral;5;5;1298cm³
41500DT;86000km;01.2020;Essence;Manuelle;4cv;Traction;Citadine;25.03.2024;Nabeul;Volkswagen;Polo;VIPhase2;"""""";"""""";"""""";"""""";"""""";""""""
45000DT;143000km;05.2018;Essence;Manuelle;4cv;Traction;Citadine;25.03.2024;Tunis;Seat;Ibiza;"""""";Noir;Noir;Similicuir;5;4;1000cm³
19500DT;195000km;09.2006;Essence;Manuelle;4cv;Traction;Citadine;25.03.2024;Tunis;Citroën;C3;I(FC/FN)Phase2;"""""";"""""";"""""";"""""";"""""";""""""
170000DT;42000km;05.2020;Essence;Automatique;7cv;Traction;Berline;25.03.2024;Ariana;Mercedes-Benz;CLA;II(118)Coupé;"""""";"""""";"""""";"""""";"""""";""""""
35000DT;163000km;03.2017;Essence;Manuelle;6cv;Traction;Berline;25.03.2024;Tunis;Hyundai;Solaris;"""""";Grisargent;Noir;Tissu;5;4;1400cm³
29000DT;130000km;07.2014;Essence;Automatique;4cv;Propulsion;Citadine;25.03.2024;Ariana;Mitsubishi;Mirage;"""""";Noir;Noir;Tissu;5;5;1200cm³
30000DT;100000km;03.2018;Essence;Manuelle;7cv;Intégrale;SUV/4x4;25.03.2024;Ariana;Lada;Niva;"""""";Rouge;Gris;Tissu;4;3;1690cm³
32000DT;157000km;09.2002;Essence;Manuelle;9cv;Intégrale;SUV/4x4;25.03.2024;Ariana;Toyota;RAV4;"""""";Grisargent;Gris;Tissu;5;3;2000cm³
38000DT;143000km;07.2013;Essence;Automatique;6cv;Traction;Cabriolet;25.03.2024;Tunis;Fiat;500C;"""""";Marron;Marron;Cuirintégral;5;2;1400cm³
38500DT;104000km;01.2021;Essence;Manuelle;5cv;Traction;Berline;25.03.2024;Tunis;Suzuki;Dzire;"""""";Blanc;Noir;Tissu;5;4;1200cm³
109000DT;12000km;01.2021;Essence;Manuelle;6cv;Traction;Compacte;25.03.2024;Tunis;Volkswagen;Golf8;"""""";Blanc;Noir;Tissu;5;5;1000cm³
44000DT;137000km;01.2012;Essence;Automatique;9cv;Traction;Berline;25.03.2024;Tunis;Volkswagen;Passat;B7Berline;"""""";"""""";"""""";"""""";"""""";""""""
25000DT;146000km;06.2011;Essence;Manuelle;5cv;Traction;Coupé;25.03.2024;Tunis;Renault;ClioCampus;"""""";Blanc;Noir;Tissu;5;3;1200cm³
55000DT;263000km;03.2009;Essence;Automatique;11cv;Traction;Berline;25.03.2024;Tunis;Mercedes-Benz;ClasseC;"""""";Blanc;Noir;Cuirpartiel;5;5;1800cm³
115000DT;119000km;05.2015;Essence;Automatique;8cv;Traction;Berline;25.03.2024;Tunis;Mercedes-Benz;ClasseC;"""""";Noir;Rouge;Cuirintégral;5;5;1600cm³
53000DT;239000km;07.2011;Essence;Automatique;10cv;Traction;Coupé;25.03.2024;Tunis;Audi;A5Coupé;"""""";Blanc;Noir;Cuirintégral;5;3;1999cm³
155000DT;51000km;11.2021;Hybridediesel;Automatique;7cv;Traction;SUV/4x4;25.03.2024;Tunis;Hyundai;TucsonHybride;"""""";Grisanthracite;Noir;Cuirintégral;5;5;1600cm³
65000DT;181000km;06.2013;Essence;Automatique;7cv;Traction;Berline;25.03.2024;Tunis;BMW;Série3;"""""";Beige;Beige;Cuirintégral;5;5;1600cm³
110000DT;128000km;03.2015;Diesel;Manuelle;8cv;Traction;SUV/4x4;25.03.2024;Tunis;LandRover;RangeRoverEvoque;"""""";Noir;Noir;Cuirintégral;5;5;2200cm³
138000DT;80000km;03.2019;Essence;Automatique;9cv;Traction;Compacte;25.03.2024;Tunis;Mercedes-Benz;ClasseA;"""""";Blanc;Noir;Cuirpartiel;5;5;1800cm³
115000DT;119000km;03.2016;Essence;Automatique;9cv;Traction;Berline;25.03.2024;Tunis;BMW;Série5;"""""";Bleu;Noir;Cuirintégral;5;5;1600cm³
49000DT;187000km;05.2016;Essence;Manuelle;6cv;Traction;Citadine;25.03.2024;Tunis;Seat;Leon;"""""";Noir;Noir;Cuirintégral;5;5;1200cm³
66000DT;155000km;01.2019;Essence;Manuelle;7cv;Traction;Berline;25.03.2024;Tunis;Volkswagen;Passat;"""""";Noir;Noir;Cuirintégral;5;5;1400cm³
33000DT;159000km;10.2014;Essence;Automatique;5cv;Traction;Citadine;25.03.2024;Tunis;KIA;Picanto;"""""";Grisargent;Noir;Tissu;5;5;1200cm³
85000DT;122000km;03.2019;Diesel;Automatique;6cv;Traction;Berline;25.03.2024;Tunis;Volkswagen;Passat;"""""";Noir;Noir;Tissu;5;5;1600cm³
115000DT;138000km;04.2016;Essence;Automatique;15cv;Traction;SUV/4x4;25.03.2024;Tunis;LandRover;RangeRoverEvoque;"""""";Bleu;Beige;Cuirintégral;5;5;2000cm³
67500DT;76000km;11.2016;Essence;Manuelle;5cv;Traction;Compacte;25.03.2024;Tunis;Volkswagen;Golf7;"""""";GrisShark;Noir;Tissu;5;5;1200cm³
54500DT;169000km;01.2013;Essence;Manuelle;6cv;Traction;Compacte;25.03.2024;Tunis;Mercedes-Benz;ClasseA;"""""";Bleu;Noir;Cuirintégral;5;5;1600cm³
97000DT;215000km;02.2017;Diesel;Automatique;7cv;Traction;Pickup;25.03.2024;Tunis;Volkswagen;Amarok;"""""";Noir;Noir;Cuirintégral;5;5;2000cm³
44500DT;34000km;03.2022;Essence;Manuelle;4cv;Traction;Citadine;25.03.2024;Tunis;Peugeot;208;"""""";Noir;Noir;Tissu;5;5;1200cm³
54500DT;100000km;07.2018;Essence;Manuelle;6cv;Propulsion;Citadine;25.03.2024;Tunis;Ford;Focus;"""""";Bleu;Beige;Cuirintégral;5;5;1200cm³
69900DT;135000km;07.2020;Essence;Automatique;6cv;Traction;Citadine;25.03.2024;Tunis;Toyota;Corolla;"""""";Beige;Noir;Tissu;5;5;1200cm³
35000DT;419000km;09.2008;Essence;Automatique;11cv;Traction;Berline;25.03.2024;Tunis;Audi;A6;"""""";Blanc;Marron;Cuirintégral;5;5;2000cm³
54500DT;66000km;01.2022;Essence;Manuelle;5cv;Traction;Citadine;25.03.2024;Tunis;KIA;Rio5p;IVPhase2;"""""";"""""";"""""";"""""";"""""";""""""
42000DT;89000km;07.2019;Essence;Automatique;5cv;Traction;Citadine;25.03.2024;Tunis;KIA;Picanto;(JA);"""""";"""""";"""""";"""""";"""""";""""""
37500DT;135000km;05.2013;Essence;Automatique;6cv;Traction;Coupé;25.03.2024;Tunis;Fiat;500;"""""";Bleu;Noir;Cuirintégral;4;2;1400cm³
110000DT;32000km;08.2018;Essence;Manuelle;7cv;Traction;Berline;25.03.2024;Tunis;Mercedes-Benz;CLA;(117)CoupéPhase2;"""""";"""""";"""""";"""""";"""""";""""""
63500DT;91000km;11.2016;Essence;Manuelle;5cv;Traction;Citadine;25.03.2024;Tunis;Volkswagen;Golf7;"""""";Noir;Noir;Tissu;5;5;1200cm³
39000DT;87000km;07.2020;Essence;Manuelle;5cv;Traction;Citadine;25.03.2024;Tunis;Hyundai;Grandi10;"""""";GrisShark;Noir;Tissu;5;5;1200cm³
38000DT;106000km;11.2016;Essence;Manuelle;5cv;Traction;Citadine;25.03.2024;Tunis;Citroën;C4Cactus;"""""";Blanc;Noir;Tissu;5;5;1200cm³
36500DT;192000km;11.2003;Diesel;Automatique;9cv;Propulsion;Berline;25.03.2024;Tunis;Mercedes-Benz;ClasseE;"""""";Beige;Noir;Cuirintégral;5;5;2200cm³
35500DT;99000km;08.2018;Essence;Manuelle;7cv;Traction;Compacte;25.03.2024;Tunis;BAICYX;KenboS2;"""""";Rouge;Noir;Tissu;5;5;1500cm³
34000DT;79000km;11.2015;Essence;Manuelle;4cv;Traction;Citadine;25.03.2024;Tunis;KIA;Picanto;"""""";Blanc;Noir;Tissu;5;4;1200cm³
39000DT;195000km;06.2010;Essence;Automatique;12cv;Traction;Citadine;25.03.2024;Tunis;Volkswagen;PassatCC;"""""";Marron;Beige;Cuirintégral;5;4;2000cm³
51000DT;139000km;02.2020;Essence;Manuelle;4cv;Traction;Citadine;25.03.2024;Tunis;Seat;Ibiza;"""""";Blanc;Gris;Tissu;5;5;1000cm³
33000DT;119000km;04.2018;Essence;Manuelle;4cv;Traction;Citadine;25.03.2024;Tunis;Citroën;C3;"""""";GrisShark;Noir;Tissu;5;5;1200cm³
45000DT;168500km;05.2012;Essence;Manuelle;5cv;Intégrale;Autres;25.03.2024;Sfax;Volkswagen;Golf6;VISW;"""""";"""""";"""""";"""""";"""""";""""""
75000DT;30000km;05.2019;Essence;Manuelle;7cv;Propulsion;Compacte;25.03.2024;Tunis;AlfaRomeo;Giulietta;"""""";Noir;Noir;Tissu;5;5;1400cm³
110000DT;22000km;08.2022;Essence;Automatique;8cv;Traction;SUV/4x4;25.03.2024;Tunis;Nissan;Qashqai;III(J12);"""""";"""""";"""""";"""""";"""""";""""""
54000DT;85000km;01.2018;Essence;Manuelle;7cv;Traction;SUV/4x4;25.03.2024;Tunis;Ssangyong;Tivoli;(03/2015-05/2019);Blanc;Gris;Similicuir;5;5;""""""
189000DT;55000km;04.2010;Essence;Automatique;32cv;Intégrale;SUV/4x4;25.03.2024;Nabeul;LandRover;RangeRover;"""""";Noir;Autre;Cuirintégral;5;5;4197cm³
71000DT;98000km;10.2017;Essence;Manuelle;6cv;Traction;Compacte;25.03.2024;Ariana;Audi;A3;"""""";Blanc;"""""";"""""";"""""";"""""";""""""
50500DT;98000km;03.2019;Essence;Automatique;6cv;Traction;Citadine;25.03.2024;Nabeul;Renault;Clio;"""""";Bleu;"""""";Cuirintégral;"""""";"""""";""""""
39500DT;58000km;10.2022;Diesel;Manuelle;5cv;Traction;Monospace;25.03.2024;Nabeul;Fiat;Fiorino;(225)Phase2;"""""";"""""";"""""";"""""";"""""";""""""
68500DT;200000km;02.2019;Diesel;Automatique;6cv;Traction;Citadine;25.03.2024;Nabeul;Volkswagen;Golf7;"""""";Grisanthracite;Noir;Tissu;5;5;1599cm³
62000DT;69000km;02.2020;Diesel;Automatique;6cv;Traction;SUV/4x4;25.03.2024;Nabeul;Peugeot;2008;"""""";GrisShark;Gris;Cuirpartiel;5;5;1499cm³
45500DT;68000km;02.2018;Essence;Manuelle;5cv;Traction;Citadine;25.03.2024;Nabeul;KIA;Rio5p;"""""";Rouge;"""""";Cuirintégral;"""""";"""""";""""""
75000DT;138000km;02.2019;Diesel;Manuelle;5cv;Traction;SUV/4x4;25.03.2024;Nabeul;Nissan;Qashqai;"""""";Noir;Noir;Cuirintégral;5;5;1499cm³
