prix;Kilométrage;Mise en circulation;Énergie;Boite vitesse;Puissance fiscale;Transmission;Carrosserie;Date de l'annonce;Gouvernorat;Marque;Modèle;Génération;Couleur extérieure;Couleur intérieure;Sellerie;Nombre de places;Nombre de portes;Cylindrée
34500DT;121000km;03.2018;Essence;Manuelle;6cv;Traction;Berline;05.03.2024;Tunis;Fiat;TipoBerline;"""""";Autre;Noir;Similicuir;5;4;1368cm³
67500DT;12000km;09.2022;Essence;Manuelle;5cv;Traction;Citadine;05.03.2024;Tunis;KIA;Rio5p;IVPhase2;"""""";"""""";"""""";"""""";"""""";""""""
73000DT;90000km;04.2018;Essence;Automatique;7cv;Traction;SUV/4x4;05.03.2024;Tunis;Renault;Kadjar;(06/2015-11/2018);Bleu;Noir;Cuirpartiel;5;5;""""""
39000DT;26500km;03.2022;Diesel;Manuelle;5cv;Propulsion;Utilitaire;05.03.2024;Tunis;Fiat;Fiorino;"""""";Blanc;Noir;Tissu;2;3;1498cm³
39000DT;118000km;01.2018;Essence;Manuelle;5cv;Traction;Berline;05.03.2024;Kairouan;Toyota;Yaris;"""""";Noir;Beige;Similicuir;5;4;999cm³
225000DT;116000km;01.2019;Diesel;Automatique;12cv;Intégrale;SUV/4x4;05.03.2024;Bizerte;Mercedes-Benz;GLCCoupé;(C253)Coupé;"""""";"""""";"""""";"""""";"""""";""""""
115000DT;140000km;10.2014;Essence;Automatique;8cv;Traction;Berline;05.03.2024;Nabeul;Mercedes-Benz;ClasseC;(205)Berline;"""""";"""""";"""""";"""""";"""""";""""""
38000DT;63000km;08.2018;Essence;Manuelle;4cv;Traction;Compacte;05.03.2024;Bizerte;Toyota;Yaris;3Phase3(KSP130/NLP130/NSP130)FabFrance;"""""";"""""";"""""";"""""";"""""";""""""
60000DT;87000km;07.2019;Essence;Manuelle;5cv;Traction;Autres;05.03.2024;Nabeul;Peugeot;2008;II(P24E)5HB;"""""";"""""";"""""";"""""";"""""";""""""
80000DT;36667km;09.2020;Essence;Manuelle;6cv;Traction;Compacte;05.03.2024;Sfax;Seat;Leon;IV(KL8)ST;"""""";"""""";"""""";"""""";"""""";""""""
115000DT;88000km;01.2020;Essence;Automatique;18cv;Propulsion;Berline;06.03.2024;Tunis;Cupra;Leon;(09/2020-Aujourd'hui);Noir;Noir;Alcantara;5;4;18cv
109000DT;95000km;03.2019;Diesel;Automatique;7cv;Traction;SUV/4x4;06.03.2024;Sousse;KIA;Sportage;IVPhase2(Fab.Slovaquie);"""""";"""""";"""""";"""""";"""""";""""""
55000DT;130000km;06.2020;Diesel;Manuelle;7cv;Traction;Utilitaire;06.03.2024;Sousse;Volkswagen;Caddy;IVCombi;"""""";"""""";"""""";"""""";"""""";""""""
25900DT;260000km;06.2013;Essence;Manuelle;11cv;Propulsion;Berline;06.03.2024;BenArous;Opel;Insignia;"""""";Noir;Cuirintégral;"""""";"""""";"""""";""""""
98000DT;69000km;05.2019;Diesel;Manuelle;7cv;Traction;SUV/4x4;06.03.2024;Nabeul;KIA;Sportage;"""""";Grisargent;Noir;Tissu;5;5;1600cm³
24000DT;190000km;12.2014;Essence;Manuelle;5cv;Traction;Berline;06.03.2024;Sfax;Peugeot;301;(11/2012-01/2017);Marron;Noir;Similicuir;5;5;""""""
21000DT;171000km;05.2013;Essence;Manuelle;5cv;Traction;Citadine;06.03.2024;Tunis;Peugeot;301;(11/2012-01/2017);Bleu;Gris;Similicuir;5;4;""""""
39500DT;119000km;11.2015;Essence;Manuelle;5cv;Traction;Citadine;06.03.2024;Tunis;Hyundai;Grandi10Sedan;"""""";GrisShark;Gris;Similicuir;5;4;899cm³
15000DT;100000km;01.1972;Essence;Manuelle;7cv;Propulsion;Berline;06.03.2024;Tunis;Volkswagen;Käfer;"""""";Noir;Noir;Similicuir;4;2;1300cm³
60500DT;136000km;10.2018;Essence;Manuelle;6cv;Traction;Compacte;06.03.2024;BenArous;Seat;Leon;III(5F8)STPhase2;"""""";"""""";"""""";"""""";"""""";""""""
85000DT;60000km;07.2019;Essence;Automatique;9cv;Intégrale;Autres;06.03.2024;Tunis;Haval;H6;"""""";Noir;Beige;Similicuir;5;4;1400cm³
127000DT;20000km;07.2021;Essence;Automatique;7cv;Traction;Citadine;06.03.2024;Monastir;Mini;5portes;"""""";Grisargent;Cuirintégral;"""""";"""""";"""""";""""""
