marque;modele;vertion;prix;nombre de place;nombre de porte;boite vitesse;CARROSSERIE;CYLINDRÉE;ENERGIE;TRANSMISSION;PUISSANCE FISCALE
Porsche;Taycan;2S;463000DT;5;4;AutomatiquePropulsion;Berline;2981CM³;Electrique;Intégrale;16CV
Porsche;CayenneCoupé;3.0V6TiptronicSE-Hybrid;615000DT;5;5;Automatique;SUV;2995CM³;Essence;Intégrale;23CV
Porsche;Cayenne;3.0lV6TiptronicSE-Hybrid;600000DT;5;5;Automatique;SUV;2995CM³;Essence;Intégrale;20CV
Porsche;Macan;2.0l265chPDK;424000DT;5;5;Automatique;SUV;1984CM³;Essence;Intégrale;17CV
Peugeot;LandtrekDoubleCabine;1.9LDiesel4x4;100990DT;5;4;Manuelle;Pickup;1910CM³;Diesel;Intégrale;6CV
Peugeot;LandtrekDoubleCabine;1.9LDiesel4x2;90990DT;5;4;Manuelle;Pickup;1910CM³;Diesel;Propulsion;6CV
Peugeot;LandtrekSimpleCabine;1.9LDiesel4x2;74500DT;2;2;Manuelle;Pickup;1910CM³;Diesel;Propulsion;6CV
Peugeot;LandtrekSimpleCabine;1.9LDiesel4x2Bennetôlepliée;70500DT;2;2;Manuelle;Pickup;1910CM³;Diesel;Propulsion;6CV
Peugeot;BoxerDoubleCabine;Plateau350L2;109900DT;7;4;Manuelle;Utilitaire;2179CM³;Diesel;Traction;7CV
Peugeot;Boxer;335L3H2Fourgon;93900DT;3;4;Manuelle;Utilitaire;2179CM³;Diesel;Traction;7CV
Peugeot;Boxer;335L2H2Fourgon;91900DT;3;4;Manuelle;Utilitaire;2179CM³;Diesel;Traction;7CV
Peugeot;Boxer;335L1H1Fourgon;89900DT;3;4;Manuelle;Utilitaire;2179CM³;Diesel;Traction;7CV
Peugeot;Expert;2.0LHDI5.8m3;84900DT;3;4;Manuelle;Utilitaire;1997CM³;Diesel;Traction;9CV
Peugeot;Partner;1.6LHDI90ch1000Kg;65900DT;2;4;Manuelle;Utilitaire;1560CM³;Diesel;Traction;5CV
Peugeot;Partner;1.6LHDI90ch650Kg;64900DT;2;4;Manuelle;Utilitaire;1560CM³;Diesel;Traction;5CV
Peugeot;traveller;2.0LHDI9places;171900DT;9;4;Manuelle;Monospace;1997CM³;Diesel;Traction;8CV
Peugeot;ExpertCombi;2.0LHDI9places;151900DT;9;4;Manuelle;Monospace;1997CM³;Diesel;Traction;8CV
Peugeot;Rifter;1.6LHDI90chActivePack;100900DT;5;4;Manuelle;Monospace;1560CM³;Diesel;Traction;5CV
Peugeot;5008GT;1.6LTHP163CHBVA;186900DT;7;5;Automatique;SUV;1598CM³;Essence;Traction;9CV
Peugeot;408GT;1.6LEAT8;170900DT;5;4;Automatique;Berline;1598CM³;Essence;Traction;13CV
Peugeot;408;1.6LAllurePackEAT8;159900DT;5;4;Automatique;Berline;1598CM³;Essence;Traction;13CV
Peugeot;408;1.6LAllureEAT8;158900DT;5;4;Automatique;Berline;1598CM³;Essence;Traction;13CV
Peugeot;3008GT;1.6LBVA;166900DT;5;5;Automatique;SUV;1598CM³;Essence;Traction;9CV
Peugeot;3008;1.6LAllureBVA;146900DT;5;5;Automatique;SUV;1598CM³;Essence;Traction;9CV
Peugeot;308GT;1.2LPuretech130chBVA;120900DT;5;5;Automatique;Compacte;1199CM³;Essence;Traction;7CV
Peugeot;308;1.2LPuretech130chAllureEAT8;108900DT;5;5;Automatique;Compacte;1199CM³;Essence;Traction;7CV
Peugeot;2008GT;1.2LPuretech130BVA;111900DT;5;5;Automatique;SUV;1199CM³;Essence;Traction;7CV
Peugeot;2008;1.2LPuretech130AllureBVA;104900DT;5;5;Automatique;SUV;1199CM³;Essence;Traction;7CV
Peugeot;2008;1.2LPuretech130ActiveBVA;97900DT;5;5;Automatique;SUV;1199CM³;Essence;Traction;7CV
Peugeot;208Populaire;1.2LLike;35433DT;5;5;Manuelle;Citadine;1199CM³;Essence;Traction;4CV
Opel;ComboCargo;XL1.6LDieselConfortL2H11000kg;67900DT;2;4;Manuelle;Utilitaire;1560CM³;Diesel;Traction;5CV
Opel;ComboCargo;1.6LDieselConfortL1H1650kg;64900DT;2;4;Manuelle;Utilitaire;1560CM³;Diesel;Traction;5CV
Opel;Astra;1.2LGS;114900DT;5;5;Automatique;Compacte;1199CM³;Essence;Traction;7CV
Opel;Astra;1.2LElegance;105900DT;5;5;Automatique;Compacte;1199CM³;Essence;Traction;7CV
Opel;Mokka;1.2LTurbo130chAT8GS;111900DT;5;5;Automatique;SUV;1199CM³;Essence;Traction;7CV
Opel;Mokka;1.2LTurbo130chAT8Elegance;104900DT;5;5;Automatique;SUV;1199CM³;Essence;Traction;7CV
Opel;Mokka;1.2LTurbo130chAT8EleganceLimited;96900DT;5;5;Automatique;SUV;1199CM³;Essence;Traction;7CV
Opel;Crossland;1.2L110chAT6Elegance;91900DT;5;5;Automatique;SUV;1199CM³;Essence;Traction;6CV
Opel;Crossland;1.2L110chAT6Edition;82900DT;5;5;Automatique;SUV;1199CM³;Essence;Traction;6CV
Opel;Corsa;1.2TurboGSLine;76900DT;5;5;Manuelle;Citadine;1199CM³;Essence;Traction;6CV
Opel;Corsa;1.2TurboEdition;72900DT;5;5;Manuelle;Citadine;1199CM³;Essence;Traction;6CV
Nissan;Qashqai;1.3LTeknaHigh;148500DT;5;5;Automatique;SUV;1332CM³;Essence;Traction;8CV
Nissan;Qashqai;1.3LTekna;144500DT;5;5;Automatique;SUV;1332CM³;Essence;Traction;8CV
Nissan;Qashqai;1.3LN-connecta;143500DT;5;5;Automatique;SUV;1332CM³;Essence;Traction;8CV
Nissan;Juke;1.0LDIG-TDCTTeknaPerso;97400DT;5;5;Automatique;SUV;999CM³;Essence;Traction;6CV
Nissan;Juke;1.0LDIG-TDCTTekna;96400DT;5;5;Automatique;SUV;999CM³;Essence;Traction;6CV
Nissan;Juke;1.0LDIG-TTekna;89400DT;5;5;Manuelle;SUV;999CM³;Essence;Traction;6CV
Mitsubishi;PajeroSport;2.4lDiDPremiumBVA;267770DT;7;5;Automatique;SUV;2442CM³;Diesel;Intégrale;11CV
Mitsubishi;PajeroSport;2.4lDiDBusiness;243567DT;7;5;Manuelle;SUV;2442CM³;Diesel;Intégrale;11CV
Mitsubishi;Pajero;2.8l;196500DT;7;5;Manuelle;SUV;2835CM³;Diesel;Intégrale;11CV
Mitsubishi;EclipseCross;1.5T-MIVECCVT;107000DT;5;5;Automatique;SUV;1499CM³;Essence;Traction;8CV
Mitsubishi;ASX;2.0LBVA;131700DT;5;5;Automatique;SUV;1998CM³;Essence;Intégrale;9CV
Mitsubishi;AttragePopulaire;1.2LGLXBVM;34662DT;5;4;Manuelle;Berline;1193CM³;Essence;Traction;4CV
MG;RX8;2.0TAWDLuxePlus;174950DT;7;5;Automatique;SUV;1995CM³;Essence;Intégrale;16CV
MG;e-HS;1.5lhybriderechargeableLuxuryPlus;149950DT;5;5;Automatique;SUV;1490CM³;Essence;Traction;9CV
MG;HS;1.5Trophy;119950DT;5;5;Automatique;SUV;1490CM³;Essence;Traction;9CV
MG;e-ZS;Electrique;116950DT;5;5;Traction;SUV;1490CM³;Electrique;Traction;9CV
MG;6;1.5Trophy;99950DT;5;5;Automatique;Berline;1490CM³;Essence;Traction;9CV
MG;ZS;1.3TTrophyBVA;95950DT;5;5;Automatique;SUV;1349CM³;Essence;Traction;9CV
MG;ZS;1.5LLuxuryBVA;85950DT;5;5;Automatique;SUV;1498CM³;Essence;Traction;7CV
MG;ZS;1.5LLuxury;79950DT;5;5;Manuelle;SUV;1498CM³;Essence;Traction;7CV
MG;GT;1.5TSport7DCT;94950DT;5;4;Automatique;Berline;1498CM³;Essence;Traction;9CV
MG;GT;1.5lCVTLuxury;84950DT;5;4;Automatique;Berline;1498CM³;Essence;Traction;7CV
MG;GT;1.5lLuxuryBVM;79950DT;5;4;Manuelle;Berline;1498CM³;Essence;Traction;7CV
MG;5;1.5LLuxeBVA;71950DT;5;4;Automatique;Berline;1498CM³;Essence;Traction;7CV
MG;5;1.5LConfortPlus;66950DT;5;4;Manuelle;Berline;1498CM³;Essence;Traction;6CV
MG;5;1.5LConfort;62950DT;5;4;Manuelle;Berline;1498CM³;Essence;Traction;6CV
MG;3;1.5LConfortPlusBVA;68950DT;5;5;Automatique;Citadine;1498CM³;Essence;Traction;7CV
